Id,Designator,Footprint,Quantity,Designation,Supplier and ref,
1,"C14,C22",C_0805_2012Metric,2,132nF,603-CC805KRX7R9BB124,https://www.mouser.co.za/ProductDetail/YAGEO/CC0805KRX7R9BB124?qs=7s%252B3O6pAiyD9ZHoo5oLV4Q%3D%3D
2,"C15,C11",C_0805_2012Metric,2,22uF,187-CL21A226MAYNNNE ,https://www.mouser.co.za/ProductDetail/Samsung-Electro-Mechanics/CL21A226MAYNNNE?qs=xZ%2FP%252Ba9zWqY%2FVvCfXjMhqg%3D%3D
3,C16,C_1206_3216Metric,1,47uF,80-C1206C476M8PAC,https://www.mouser.co.za/ProductDetail/KEMET/C1206C476M8PAC?qs=lBBRTESop8x77yDs98LYuw%3D%3D
4,C19,C_0805_2012Metric,1,212nF,187-CL21B224KBFNNNF,https://www.mouser.co.za/ProductDetail/Samsung-Electro-Mechanics/CL21B224KBFNNNF?qs=349EhDEZ59ptsDbYHpNZqw%3D%3D
5,C21,C_0805_2012Metric,1,27pF,791-0805N270J631CT,https://www.mouser.co.za/ProductDetail/Walsin/0805N270J631CT?qs=ZrPdAQfJ6DNZwj%252BbNo9hhw%3D%3D
6,"C24,C40,C67,C78,C64,C70,C1,C47,C74,C43,C18",C_0805_2012Metric,11,1uF,187-CL21B105KBFNNNE ,https://www.mouser.co.za/ProductDetail/Samsung-Electro-Mechanics/CL21B105KBFNNNE?qs=yOVawPpwOwmddQEBPU6Y9A%3D%3D
7,"C28,C23,C27",C_0805_2012Metric,3,10pF,80-C0805C100K5G ,https://www.mouser.co.za/ProductDetail/KEMET/C0805C100K5GACTU?qs=3SD0MEbi8oiSMc603vV8xA%3D%3D
8,"C29,C30",C_0805_2012Metric,2,39pF,791-0805N390J631CT,https://www.mouser.co.za/ProductDetail/Walsin/0805N390J631CT?qs=ZrPdAQfJ6DPOaaMfCkuovQ%3D%3D
9,C4,C_0805_2012Metric,1,330pF,80-C0805C331J5G,https://www.mouser.co.za/ProductDetail/KEMET/C0805C331J5GACTU?qs=XkeKLm6KyJJ%2F9Nbgl%252BN6dw%3D%3D
10,"C41,C52,C3",C_0805_2012Metric,3,10nF,80-C0805C103K5R ,https://www.mouser.co.za/ProductDetail/KEMET/C0805C103K5RACTU?qs=cw4evkOYbeJ17Si5k%2FymvA%3D%3D
11,"C48,C20,C68,C77,C55,C45,C51,C37,C35,C60,C56,C61,C46,C2,C36,C10,C49,C69,C9,C25,C57,C44,C71,C32,C72,C39,C5,C65,C12,C31,C26,C38",C_0805_2012Metric,32,100nF,603-CC805KRX7R9BB104 ,https://www.mouser.co.za/ProductDetail/YAGEO/CC0805KRX7R9BB104?qs=vTakOoo5QyLx0lXWgVtRhQ%3D%3D
12,"C53,C58,C54",C_0805_2012Metric,3,1.5pF,603-CC805CRNPO9BN1R5 ,https://www.mouser.co.za/ProductDetail/YAGEO/CC0805CRNPO9BN1R5?qs=5q%252BqlK8CmJTspn63PdnbIg%3D%3D
13,"C59,C50,C8,C42,C7,C66,C34,C75,C73",C_0805_2012Metric,9,10uF,187-CL21A106KOQNNNG ,https://www.mouser.co.za/ProductDetail/Samsung-Electro-Mechanics/CL21A106KOQNNNG?qs=hqM3L16%252BxlcMWI7QbqH0LA%3D%3D
14,C6,C_0805_2012Metric,1,6n8F,791-0805B682K500CT,https://www.mouser.co.za/ProductDetail/Walsin/0805B682K500CT?qs=fIkAfuXiAQJnCz6rzinLjw%3D%3D
15,"C62,C33",C_0805_2012Metric,2,2.2uF,187-CL21B225KOFNNNG,https://www.mouser.co.za/ProductDetail/Samsung-Electro-Mechanics/CL21B225KOFNNNG?qs=hqM3L16%252Bxlc8ejy88oww%252Bw%3D%3D
16,"C76,C63",C_0805_2012Metric,2,22pF,80-C0805C220K5HACTU,https://www.mouser.co.za/ProductDetail/KEMET/C0805C220K5HACTU?qs=W0yvOO0ixfEHOdsIsVM%2FuQ%3D%3D
17,"D5,D4",LED_0805_2012Metric,2,7012X5,606-7012X5,https://www.mouser.co.za/ProductDetail/VCC/7012X5?qs=I7nE1oQSFs%252BQVyGrVFfDjQ%3D%3D
18,"D6,D3",D_SMA,2,VSSAF5M6HM3/H,78-VSSAF5M6HM3/H,https://www.mouser.co.za/ProductDetail/Vishay-General-Semiconductor/VSSAF5M6HM3-H?qs=ECv811tYSNgEOoG8YUf%252B8g%3D%3D
19,"D7,D1,D2",D_SOD-123,3,MBR230LSFT1G,863-MBR230LSFT1G,https://www.mouser.co.za/ProductDetail/onsemi/MBR230LSFT1G?qs=Jh7l0IbPjid1ZBeNXVj%2FnA%3D%3D
20,"FB1,FB2",C_0805_2012Metric,2,Bead,810-MPZ2012S601AT000,https://www.mouser.co.za/ProductDetail/TDK/MPZ2012S601AT000?qs=8Kz9Wu9QwqXtNFDW9LJXAQ%3D%3D
21,IC1,SOT230P700X180-4N,1,AZ1117H-3.3TRE1,621-AZ1117H-3.3TRE1,https://www.mouser.co.za/ProductDetail/Diodes-Incorporated/AZ1117H-3.3TRE1?qs=FKu9oBikfSkGfSKJazTNfQ%3D%3D
22,IC2,QFN50P350X350X100-17N-D,1,BQ24650RVAR,595-BQ24650RVAR,https://www.mouser.co.za/ProductDetail/Texas-Instruments/BQ24650RVAR?qs=0zjllh%252Bnl7YoFsOK3aOUFA%3D%3D
23,J10,PinHeader_1x04_P2.54mm_Vertical,1,PROG,737-PH1-04-UA,https://www.mouser.co.za/ProductDetail/Adam-Tech/PH1-04-UA?qs=HoCaDK9Nz5fnp3pp8iwrSQ%3D%3D
24,J11,CUI_TB007-508-02BE,1,Solar connector,737-EBQA-02-D-C,https://www.mouser.co.za/ProductDetail/Adam-Tech/EBQA-02-D-C?qs=HoCaDK9Nz5c3DTE7K1fmdQ%3D%3D
25,J12,PinHeader_1x03_P2.54mm_Vertical,1,TS Conn,538-22-28-5032 ,https://www.mouser.co.za/ProductDetail/Molex/22-28-5032?qs=PsBcBlklIFWhBc9FIlgSpQ%3D%3D
26,J14,CUI_TB007-508-02BE,1,BAT connector,737-EBPA-02-D-C,https://www.mouser.co.za/ProductDetail/Adam-Tech/EBPA-02-D-C?qs=HoCaDK9Nz5c93PCtj8Z8%252BQ%3D%3D
27,J2,CUI_TB007-508-02BE,1,12V Connector,737-EBQA-02-D-C,https://www.mouser.co.za/ProductDetail/Adam-Tech/EBQA-02-D-C?qs=HoCaDK9Nz5c3DTE7K1fmdQ%3D%3D
28,J4,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,UJ20-C-H-G-SMT-P16-TR,523-12402012E212A ,https://www.mouser.co.za/ProductDetail/Amphenol-Commercial-Products/12402012E212A?qs=81r%252BiQLm7BT5J0NqqGfVqg%3D%3D
29,J5,PinHeader_1x03_P2.54mm_Vertical,1,USB Switch,538-22-28-5032 ,https://www.mouser.co.za/ProductDetail/Molex/22-28-5032?qs=PsBcBlklIFWhBc9FIlgSpQ%3D%3D
30,"J6,J9",PinHeader_1x02_P2.54mm_Vertical,2,LED Connector,737-PH1-02-UA,https://www.mouser.co.za/ProductDetail/Adam-Tech/PH1-02-UA?qs=HoCaDK9Nz5dVT5LAE%2F6mlA%3D%3D
31,J7,PinHeader_1x01_P2.54mm_Vertical,1,CLK TP,,
32,J8,PinHeader_1x04_P2.54mm_Vertical,1,Conn,737-PH1-04-UA,https://www.mouser.co.za/ProductDetail/Adam-Tech/PH1-04-UA?qs=HoCaDK9Nz5fnp3pp8iwrSQ%3D%3D
33,L1,L_0805_2012Metric,1,100nH,504-MCL2012V2-101-R,https://www.mouser.co.za/ProductDetail/Eaton-Electronics/MCL2012V2-101-R?qs=uwxL4vQweFNcRtzbKa8S%2FA%3D%3D
34,L10,L_0805_2012Metric,1,24nH,279-36502A24NJTDG ,https://www.mouser.co.za/ProductDetail/TE-Connectivity-Holsworthy/36502A24NJTDG?qs=HLeXuo0aL2oh58f0YUrbiQ%3D%3D
35,L11,L_0805_2012Metric,1,10uH,963-LBR2012T100K,https://www.mouser.co.za/ProductDetail/TAIYO-YUDEN/LBR2012T100K?qs=PzICbMaShUet3AhlAozLXg%3D%3D
36,L12,L_0603_1608Metric,1,2nH,279-36550603S2N0T,https://www.mouser.co.za/ProductDetail/TE-Connectivity-Sigma-Inductors/36550603S2N0T?qs=i8QVZAFTkqS%2FhQNfo8IajA%3D%3D
37,"L14,L13",L_0805_2012Metric,2,2.7nH,815-AIMC-0805-2N7ST,https://www.mouser.co.za/ProductDetail/ABRACON/AIMC-0805-2N7S-T?qs=1vO2EIVe%252BY6eZ1oTW4jIxQ%3D%3D
